EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2953008;2;01/04/1948;1;21,6;61,4;8;7;1;1;0;891,099975585938;2;0;6;0;0;0;0;0;21,6;0;0;6,3;0;0;3,1;0;4,2;0;2,1;0;0;0;0;0;0;0;0;0;0;0;18,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2953008;2;01/05/1948;1;45,1;63,7;2;4;1;1;0;891,099975585938;2;0;45,1;0;0;0;0;0;0;6,3;0;0;0;0;0;6,2;0;0;0;0;0;0;0;0;0;0;0;6,1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/06/1948;1;81,5;155,9;12;5;1;1;0;891,099975585938;2;0;0;0;0;0;0;0;0;0;15,2;46,1;81,5;0;0;0;0;0;0;0;0;0;6;7,1;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2953008;2;01/07/1948;1;39,2;88,1;23;6;1;1;0;891,099975585938;2;0;0;0;6,2;0;0;0;0;0;0;0;0;0;5,3;0;0;0;0;4,1;0;0;0;39,2;10,1;23,2;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/08/1948;1;42,1;57,2;25;2;1;1;0;891,099975585938;2;15,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/09/1948;1;43,2;141,3;22;7;1;1;0;891,099975585938;2;0;0;0;0;0;0;0;0;26,2;8,3;0;0;6,1;0;0;0;18,1;36,3;0;3,1;0;43,2;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2953008;2;01/10/1948;1;63,1;86,5;27;4;2;2;0;891,099975585938;2;0;0;7,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,1;0;6;0;0;0;63,1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1
2953008;2;01/11/1948;1;24,1;35,5;25;4;1;1;0;891,099975585938;2;0;0;0;0;0;0;0;6;0;0;0;2,3;0;0;3,1;0;0;0;0;0;0;0;0;0;24,1;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2953008;2;01/12/1948;1;0;0;1;;1;1;0;891,099975585938;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/01/1949;1;81;87,2;5;2;2;2;0;1274,59997558594;2;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;6,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
